,text,option_1,option_2,option_3,option_4,N,Type,Order,Keywords,scores,idx
q28831,"On weekends / days off, do you like to get out and make the most of the day, or do you prefer to sleep late and relax?",Get up and do something,Sleep late and relax,It varies,,30215,O,"2, 3, 1",preference,3,273
q30607,Is it okay to answer your cell phone while out with a friend or on a date?,Of course. Why wouldn't it be?,"Friend, yes. Date, no.","No, that's just rude.",,28810,O,,opinion,3,274
q318,How important is money/wealth for you in a match?,Very important,Somewhat important,Not important at all,,35375,O,,preference,3,275
q26052,Would you date someone who was very into fantasy novels?,Yes,Maybe,"No, what a geek!",,25441,O,,preference,3,276
q26582,Would you ever eat something out of the trash?,Yes,Maybe (if it's still good),No,,26861,O,,descriptive,3,277
q27747,"Do you believe that art and literature courses are important to students, even if they are majoring in other fields?","Yes, absolutely.","I like them, but don't know if they're important.","No, why waste their time?",,23326,O,,politics; opinion,3,278
q27921,Do you believe your country would be more or less safe if every adult owned a gun?,More safe,Less safe,Neither / unsure,,42307,O,"2, 3, 1",politics; opinion,3,279
q28478,"If a blind date used a coupon while paying for dinner, how would you feel?",Negative. That's tacky/cheap.,Positive. Very sensible.,I don't care either way.,,23847,O,"2, 3, 1",descriptive,3,280
q28918,Would you do a striptease for your mate?,Yes,No,Maybe / Unsure,,24385,O,"2, 3, 1",sex/intimacy,1,281
q29032,Which of the following types of intelligence do you most value?,Logical / Mathematical,Social / Interpersonal,Visual / Spatial / Artistic,,35050,N,,preference,2,282
q1132,Would you ever consider cutting a partner (who asked for it) in sexual play?,Yes,Maybe,No,,32264,O,,sex/intimacy,2,283
q1134,Do you have a desire (even if it's secret) to take part in sexual activities involving bondage?,Yes,No,Absolutely not.,,26109,O,,sex/intimacy; BDSM,2,284
q18530,Do you want your partner to be kinkier than you?,Yes,No,Not possible,,37678,M,[3],sex/intimacy,2,285
q18547,Guys with facial hair…,Great!,Okay.,Gross!,,25485,O,,preference; opinion,2,286
q18594,"Do superficial people, who place a high emphasis on physical appearance, annoy you?",Yes,No,Sometimes,,29880,O,"2, 3, 1",descriptive,3,287
q19815,Your significant other is perfectly content with their minimum wage job and has no plans to look for more challenging/better paying work. Is this a problem?,"Yes, I wouldn't be able to tolerate that.","Somewhat, but it's their life.","No, I don't mind.",,31022,O,,preference,4,288
q20021,Which of these options most closely describes what you're looking for in your next relationship?,Someone to come home to,Someone to go out with,Someone for tonight,,40763,N,,preference,4,289
q20062,"While in the middle of the best lovemaking of your life, if your lover asked you to squeal like a dolphin, would you?",Absolutely.,No way.,The best?  Maybe...,,23496,O,"2, 3, 1",sex/intimacy,1,290
q20725,Do you space out or daydream a lot?,All the time,Rarely / never,Sometimes,,43906,O,,descriptive,2,291
q20778,You're up against a nearly impossible challenge. Your ideal partner:,pushes you hard to succeed,reminds you to be realistic,"stands back, but comforts you if you fail",,29761,N,,preference,3,292
q612,Should evolution and creationism be taught side-by-side in school?,"Yes, students should hear both sides","No, creationism has no place in schools","No, evolution has no place in schools",,44907,O,"2, 1, 3",politics; religion/superstition,4,293
q30115,"Have you ever gotten, or would you ever get, a piercing below the belt?",I have.,I would.,I wouldn't.,,25520,O,,descriptive,2,294
q30271,Does silence make you uncomfortable?,Yes,No,Depends on the situation,,27785,O,"2, 3, 1",descriptive,2,295
q31488,"If you were dating somebody that you met online, would you be reluctant to tell your friends?","Yes, I would be reluctant.","No, not at all.","A little, but I would be honest with them.",,26788,O,"2, 3, 1",descriptive; preference,3,296
q31581,Your significant other's ex is coming into town and he/she wants to go out to dinner with them alone. How do you react?,"Sure, no problem.","Not thrilled, but go ahead.",No way.,,42407,O,,preference,4,297
q31877,"When men show extra courtesy toward women (opening doors, pulling out chairs, etc.), this is:",Admirable and desirable. Chivalry's not dead.,Unnecessary but appreciated.,"Sexist and insulting, women are perfectly capable.",,37183,O,,politics; opinion,3,298
q32657,Would you develop a new hobby/cultivate a new interest just to have something in common with your partner?,"Sure, it's good to do stuff together","No, we should maintain our own identities","Maybe, but only if it seemed cool",,26543,O,"2, 3, 1",preference; descriptive,3,299
q1446,Do you care about other people's suffering?,"Yes, solidarity is important","No, everyone has their own responsibility",It depends on the kind of suffering,,28942,O,"1, 3, 2",politics; preference,4,300
q1707,Which of the following best describes your typical demeanor?,Cheerful!  I have a positive outlook.,Meh. I have my ups and downs.,Annoyed. The world sucks.,,38613,O,,descriptive,4,301
q1730,Do you enjoy Rap/Hip-Hop?,Yes,No,Some,,30046,O,"1, 3, 2",preference,2,302
q153,Pick the best date on this list:,A really nice restaurant,A really divey bar,A day at the beach,,28688,N,,sex/intimacy; preference,2,303
q167,Do you recycle?,Almost always,Sometimes,Rarely or not at all,,24586,O,,politics,3,304
q16820,What is your opinion on Walmart?,Retail heaven,Devil incarnate,Just another corporation,,23325,O,"2, 3, 1",opinion,2,305
q986,Do you believe in an afterlife/life after death/resurrection?,Yes,No,I'm Not Sure,,26714,O,"1, 3, 2",religion/superstition,4,306
q1049,Would you prefer the lights on or off during sex?,On,Off,It's exactly the same to me,,28621,O,"1, 3, 2",sex/intimacy,1,307
q1052,How often do you get angry?,Very often,Sometimes,Rarely,,37223,O,,descriptive,2,308
q21175,"Are you an intellectual? In the context of this question, intellectual means someone who loves learning, often for its own sake.",Yes,No,I find learning boring,,31729,O,,descriptive; cognitive,4,309
q6499,"If I saw someone checking out my significant other, I'd feel:",flattered / proud,protective / concerned,unchanged,,27195,O,"1, 3, 2",sex/intimacy; preference; descriptive,3,310
q416236,How do you feel about documentaries?,Yay!,Okay,NO.,,43521,O,,descriptive,2,311
q13100,Are you annoyed by tardiness?,Yes,No,I'm the one who's always running late.,,23351,M,[3],descriptive,2,312
q1173,Are you more attracted to virgins?,Yes,No,I AM a virgin,,28467,N,,sex/intimacy; preference,1,313
q9418,Manners are:,Important,Not very important,I fart on this question,,24556,O,,opinion,4,314
q9447,Which would do more to improve the world?,Fewer stupid people,Fewer ugly people,This question upsets me,,30198,N,,opinion,2,315
q9668,"Not as in whips and chains, but in general, do you prefer your partner to be...",Dominant,Submissive,Balanced,,34373,O,"2, 3, 1",sex/intimacy; preference; BDSM,2,316
q9688,Could you date someone who does drugs?,No,"Yes, but only soft stuff like marijuana",Yes,,55697,O,,preference,4,317
q13006,Would you go out with a smoker?,Yes,"Yes, but only an occasional/social smoker",No,,44337,O,,preference,2,318
q86184,Do you keep your sexual exploits private?,"Yes, always.","No, I am an open book.",Sometimes.,,27490,O,"2, 3, 1",sex/intimacy; descriptive,2,319
q86366,Could you have respect for someone after having sex with them on the first meeting/date?,Yes.,No.,"Maybe, depending upon the circumstances.",,34988,O,"2, 3, 1",sex/intimacy; descriptive,3,320
q86544,Which of the following has the biggest influence on your behavior?,"Reason, Observation, Empiricism, Trial-And-Error.","Tradition, Faith, Upbringing, Heritage.","Emotion, Intuition, Instinct.",,28102,N,,religion/superstition; descriptive,3,321
q5764,Sharing a toothbrush with your partner is:,Utterly disgusting,"Okay, sometimes",A sign of closeness,,26521,O,,sex/intimacy; preference,3,322
q23233,Do you have time for a committed relationship in your life at this point?,"Yes, absolutely",Probably not,No,,23160,O,,descriptive,3,323
q34255,How do you feel about women openly displaying tattoos?,I Like It,I Don't Mind,I Dislike It,,34567,O,,preference,2,324
q34333,"Which do you prefer in a significant other, generally speaking?",Dominance/Aggression,Submission/Shyness,"A little of both, depending on the situation",,28356,O,"2, 3, 1",preference,3,325
q35203,Would you consider being in a relationship with someone who has had homosexual sex?,Yes,No,I'm Not Sure / Depends how serious it was,,33362,O,"2, 3, 1",sex/intimacy; preference,5,326
q35778,Would you allow a pet to sleep on your bed?,Yes.,No.,Maybe.,,35107,O,"2, 3, 1",preference; descriptive,2,327
q35995,Have you ever lied to a partner about your sexual history?,Yes,No,I've never discussed my sexual history in this way,,23845,M,[3],descriptive,2,328
q15889,Do you put more weight in science or faith?,Science,Faith,Equally in both,,39488,O,"2, 3, 1",religion/superstition,4,329
q70218,"You are interested in someone, and you discover that they were a nerd in high school.  How does this affect your opinion of them?",Favorably.,Unfavorably.,It makes no difference.,,25059,O,"2, 3, 1",preference,2,330
q80621,How often do you smoke cigars?,Frequently.,Occasionally.,Never.,,23238,O,,descriptive,2,331
q82566,Do you like coffee?,Yes.  I need it to function.,"Yes, but I can do without it.",No.,,28548,O,,descriptive,2,332
q82681,"If I had to choose among the following for an ideal romantic partner, I'd choose:",Someone attractive and kind.,Someone smart and kind.,Someone attractive and smart.,,28205,N,,preference,3,333
q9379,Would you ever date or mess around with a good friend's ex?,"Yes, why not?",No,"Yes, but only with my friend's permission",,31625,O,"3, 1, 2",sex/intimacy,2,334
q38196,"Regardless of where you grew up or now live, which of the following best describes the way you see yourself at heart?",I am an urban or city person.,I am a suburbanite.,I am small town or country person.,,26385,O,,descriptive,4,335
q39210,Do you believe you've lived past lives?,"Yes, I am confident I have.","No, I do not believe this is possible.","Maybe, but there is no way to really know.",,24152,O,"2, 3, 1",religion/superstition,2,336
q40194,How important is it that your partner be willing and able to participate in meaningful philosophical conversations?,Extremely important.,Somewhat important.,Not at all important.,,39481,O,,preference,2,337
q40288,How trusting are you where it concerns your government?,Completely.,Somewhat.,Not at all.,,27329,O,,politics; descriptive,4,338
q41393,"In a potential mate, is ditzyness a turn-on or a turn-off?",Turn-on. I find scatterbrained people cute.,Turn-off. I find easily-confused types annoying.,I'm neutral / it depends on their other traits.,,32249,O,"2, 3, 1",preference,2,339
q41850,How important is it for you to make physical contact when showing affection for someone?,Very important.,Somewhat important.,Not important.,,41417,O,,preference,2,340
q19898,Do you enjoy finding out what makes things work the way they do?,I'm an information sponge,Sometimes,"As long as it works, who cares why?",,41310,O,,preference; descriptive,3,341
q19931,Straight women who kiss or fondle each other in clubs in the hopes of attracting men are...,Incredibly hot!,Just having some girlish fun.,Profoundly annoying.,,38427,O,,preference; opinion,2,342
q20298,Compassion is:,A sign of strength,A sign of weakness,Neither,,26062,N,,opinion,2,343
q63010,Do you have names planned out for future children?,Yes.,No.,"No, and I'm not planning on any future children.",,30625,O,,descriptive,4,344
q66506,How important to you is a potential match's sense of humor?,Very important.,Somewhat important.,Not important.,,41629,O,,preference,1,345
q69186,Can you remember the names of everyone you've ever had sex with?,Yes.,No.,I've never had sex with anyone.,,29398,M,[3],descriptive,2,346
q14853,How do you feel about baseball?,It's my life,I can take it or leave it,I think it's dumb,,23026,O,,preference,2,347
q15414,"Have you used psychedelic drugs (LSD, mescaline, peyote, etc.) or would you like to?","Yes, I have used psychedelic drugs.","No, I have not used them and I would not try them.","No, I have not used them but I would try them.",,30270,O,"2, 3, 1",descriptive; preference,3,348
q15704,What is your opinion of sarcasm?,I like it or love it.,It's okay.,Sarcasm is formulaic and lame.,,33187,O,,opinion,2,349
q20418,Do you keep a budget (of your finances)?,Yes,No,Sometimes,,43634,O,"2, 3, 1",descriptive,3,350
q20981,Genital piercings:,Make me hot,"Ouch, no thanks.",No opinion / Not sure,,29012,O,"2, 3, 1",preference,2,351
q43304,Do you get angry when you lose a game?,Usually,Sometimes,Never,,27438,O,,descriptive,2,352
q45598,Do you enjoy provoking people just to get a response.,Often.,Sometimes.,Never.,,26726,O,,descriptive,2,353
q46563,Assume you have a homosexual friend who is the same gender as you.  Would it bother you if they hugged you?,Yes.,No.,Only if I thought the hug was more than friendly.,,33991,O,"2, 3, 1",preference; descriptive,3,354
q17017,Do you litter?,Often,Rarely,Never,,35221,O,,descriptive,2,355
q17457,Have you ever spent more than 8 hours straight playing video games?,Yes,No.,Anyone who does is a loser.,,28639,M,[3],descriptive,2,356
q18504,Do you have a dark and morbid sense of humor?,Yes,No,Occasionally,,30286,O,"2, 3, 1",descriptive,2,357
q55744,"If you were going to have a child, would you want the other parent to be of the same ethnicity as you?",Yes.,No.,This would not be an important factor to me.,,40629,O,"2, 3, 1",descriptive; preference,5,358
q56606,How interested would you be in knowing the details of a partner's sexual history?,Very interested.,Somewhat interested.,Not interested.,,29116,O,,sex/intimacy; descriptive,3,359
q60756,"If your partner wanted you to say a specific phrase during sex, would you?","Yes, I'd say anything they want me to.","No, I wouldn't.","Maybe, it would depend upon the phrase.",,30021,O,"2, 3, 1",sex/intimacy,2,360
q60843,"If you were to get married, would you want your partner to change his or her last name to yours?",Yes.,No.,I would want them to make their own decision.,,36563,O,"2, 3, 1",descriptive; preference,3,361
q61133,Would you be comfortable masturbating in front of a partner?,Yes.,No.,I don't masturbate.,,23091,M,[3],sex/intimacy,1,362
q62140,Does it bother you when people are late?,"Yes, always.","No, never.","Sometimes, it depends upon the circumstances.",,25559,O,"2, 3, 1",descriptive; preference,3,363
q53402,Do you usually feel the need to shower or bathe after having sex?,Yes.,No.,I've never had sex.,,24920,M,[3],sex/intimacy,2,364
q53540,"Regardless of your actual age, do you consider yourself to be an adult?",Yes.,No.,Only some of the time.,,35857,O,"2, 3, 1",descriptive,4,365
q53611,How often do you meditate?,Frequently.,Rarely.,Never.,,40623,O,,descriptive,2,366
q54052,"In general, how content are you with your own appearance?",Very content.,Somewhat content.,Not very content.,,25559,O,,descriptive,3,367
q54695,How clear to you are your goals in life?,Very clear.,Somewhat clear.,Not at all clear.,,25418,O,,descriptive,2,368
q16053,How willing are you to meet someone from OkCupid in person?,Totally willing!,"Hesitant, but I'd certainly consider it.",I'm not interested in meeting in person.,,58043,O,,preference,2,369
q16317,Would you ever date someone that is HIV positive?,Yes,No,I don't know,,28385,O,"2, 3, 1",preference,4,370
q16371,Someone in an open relationship asks you out on a date. You:,Refuse / Aren't interested in open relationships.,"Are hesitant, but would consider it.",Accept / Are open to non-monogamous relationships.,,24844,O,,preference,3,371
q16862,Beards: cool or ugly?,Cool,Ugly,Depends,,29561,O,"2, 3, 1",opinion,1,372
q19140,"Personally, is sex in a public place hotter than indoor sex?",Yes,No,I'm Not Sure / Wouldn't know,,23411,O,"2, 3, 1",sex/intimacy,1,373
q19265,A college-level education is...,Necessary,"Nice, but not mandatory",Unnecessary,,39043,O,,preference,4,374
q46927,Would you consider dating someone who has vocalized a strong negative bias toward a certain race of people?,Yes.,No.,It depends on which race.,,40350,O,"2, 3, 1",preference,4,375
q48325,How important are academic achievements to you?,Very important.,Somewhat important.,Not important.,,28673,O,,preference; descriptive,3,376
q48753,Do you like to cuddle?,Yes.,No.,Sometimes - It depends.,,47789,O,"2, 3, 1",preference,2,377
q59597,"If given the chance, would you rather learn to play a musical instrument or learn to speak another language?",Play a musical instrument.,Speak another langauge.,Neither.,,23486,N,,preference,2,378
q67418,What is your opinion of couples who frequently say 'I love you' to one another?,It's sweet.,It's annoying.,I'm indifferent to this.,,24021,O,"2, 3, 1",opinion,2,379
q7060,Are politics interesting?,Yes,No,Sometimes,,27093,O,"1, 3, 2",politics; preference; opinion,3,380
q85315,Have you been faithful in all of your past relationships?,Yes.,No.,I haven't had a past relationship.,,25445,M,[3],descriptive,2,381
q9628,Biting?,No,Yes,Let's break skin,,28487,O,,sex/intimacy,1,382
q26525,Can overweight people still be sexy?,Always,Yes,No,,30095,O,,preference; opinion,2,383
q122,How much does physical attractiveness matter to you in a match?,A lot,A little,Not at all,,36797,O,,preference,2,384
q126,What kind of shape are you in?,Great,Average,Shitty,,26252,O,,descriptive,2,385
q128,Do you have any tattoos?,I have 1 or more BIG tattoos,I have 1 or more LITTLE tattoos,I have no tattoos,,40450,O,,descriptive,3,386
q132,Can you run a mile without stopping?,Yes,No,Yes - And More,,22862,O,"3, 1, 2",descriptive,2,387
q39576,How important is it for you to give expensive gifts on a regular basis when in a relationship?,Very important.,Somewhat important.,Not at all important.,,24735,O,,preference,2,388
q40441,"If you were to die, would whoever goes through your personal belongings be shocked by what they find?",Yes.,No.,Maybe a little bit.,,41572,O,"2, 3, 1",descriptive,3,389
q29,Would you rather:,be tied up during sex,do the tying,avoid bondage all together,,30567,N,,sex/intimacy; BDSM,1,390
q30,Would you like to receive pain during sex?,"Yes, lots and lots","Yes, some",No,,32084,O,,sex/intimacy; BDSM,1,391
q11,How does the idea of being slapped hard in the face during sex make you feel?,Horrified,Aroused,Nostalgic,Indifferent,28860,N,,sex/intimacy,1,392
q53299,Which type of education would you prefer for your children?,Public.,Private.,Religious.,Home.,25113,N,,religion/superstition; preference,4,393
q46780,Do you leave the lights on after leaving a room when they are no longer necessary?,Always - I don't think about turning lights off.,Usually - This isn't very important.,Sometimes - I try to save energy but do forget.,Rarely or never - That would be wasteful.,27123,O,,descriptive,3,394
q44354,Do you enjoy long camping trips? (longer than 3 nights),I don't like to camp.,"I've never camped, but would like to.","I like to camp, but not long trips.",I love long camping trips.,27526,O,,preference,2,395
q42918,What volume level do you usually prefer when listening to music?,Loud or louder.,Somewhere in the middle.,Soft and in the background.,I prefer to not listen to music.,24644,O,,preference,2,396
q42120,"Are you a 'double dipper'?  In other words, do you ever take a bite of food and then dip it back into a shared sauce or dip?","Yes, I double dip indiscriminately.","Yes, but only with family or close friends.","Yes, but only with a partner.","No, never.",22928,O,,descriptive,1,397
q41099,"Right this minute, how clean is your main personal bathroom, (say the one you use every morning when you wake up in your own bed)?","Spotless, shiny, germ-free, clean clean clean.",Clean-ish but could use a quick touch-up.,"Not awful, but it could use a good cleaning.",Disgusting! even I cringe when I have to use it!,27184,O,,descriptive,3,398
q39373,How often do you do things out of spite?,Very often.,Sometimes.,Rarely.,Never.,31964,O,,descriptive,2,399
q23305,How many countries have you visited?,I have never left the country I live in now.,Between 2 and 5 countries.,Between 6 and 10 countries.,More than 10 countries.,24592,O,,descriptive,3,400
q88,How messy are you?,I'm very messy,I'm average,I'm mostly organized,I'm compulsively neat,26579,O,,descriptive,2,401
q85835,Which is worse: starving children or abused animals?,Starving children.,Abused animals.,"Neither, both are good.","Neither, they are equally bad.",38702,O,"3, (1, 2), 4",politics; opinion,3,402
q82301,"When you first talk online with someone, which of the following would you prefer to talk about?",Sex.,Politics or current events.,Activities.,Personal history or experiences.,24223,N,,preference,3,403
q665,Are you fetish-friendly?,Bring out the toys!,"Never tried it, but I'm open-minded.",Not sure/don't know what they really are.,Ew!,27406,O,,sex/intimacy,1,404
q61281,How often do you 'take it out' on other people when you're having a bad day?,Always.,Frequently.,Occasionally.,Never.,31203,O,,descriptive,3,405
q53629,Which is your favorite season?,Summer.,Fall.,Winter.,Spring.,23790,N,,descriptive; preference,1,406
q81,How much do you go 'clubbing' (out dancing in bars)?,Lots,Sometimes,Rarely,Never,31984,O,,descriptive,2,407
q80,What's your deal with harder drugs (stuff beyond pot)?,I do drugs regularly.,I do drugs occasionally.,"I've done drugs in the past, but no longer.",I never do drugs.,50107,O,,descriptive,3,408
q79,What's your relationship with marijuana?,I smoke regularly.,I smoke occasionally.,"I smoked in the past, but no longer.",Never.,49796,O,,descriptive,3,409
q50352,"If you were going away for two weeks, how far in advance would you start packing?",I would pack at least two days before I leave.,I would pack on the day before I leave.,I would pack on the same day I leave.,I would not pack at all.,22873,O,,descriptive,2,410
q49920,How spicy do you like your spicy food?,I like it extremely spicy.,I like it hot.,I like it a little spicy.,I prefer it be mild.,23697,O,,preference,2,411
q49107,Which of the following would you rather discuss with someone you just met?,Musical preferences.,Political beliefs.,Philosophical beliefs.,Sports.,29721,O,,preference,4,412
q49053,What was the duration of your longest romantic relationship?,More than five years.,One to five years.,Less than one year.,I've never been in a romantic relationship.,25779,O,,descriptive,3,413
q48981,Consider the recent fictional movies you have watched.  Which of the following aspects do you find most disturbing?,Sex.,Violence.,Racial or cultural stereotyping.,None of the above disturbs me.,26709,N,,opinion,2,414
q48953,"If you were visiting a new city, where would you be most excited to go?",Tourist attractions or entertainment venues.,Historically or culturally important places.,Places popular with the locals.,Home.,30729,N,,preference,3,415
q19874,How long do your romantic relationships usually last?,0-6 months,6-12 months,12+ months,I've never been in a relationship,40948,M,[4],descriptive,4,416
q19378,How are you most likely to show your partner you care?,Words: Tell them how much you appreciate them,Actions: Do something nice (like a date or errand),"Gifts: Buy them flowers, jewelery or a new gadget","Touch: Give them a hug, massage or kiss",40178,N,,sex/intimacy; preference; descriptive,2,417
q18966,Do you prefer hardcore or softcore when it comes to your porn?,Hard!,Soft!,Both!,I don't like porn,24917,M,"2, 3, 1, [4]",sex/intimacy; preference,2,418
q18875,How important is it to you that your partner smell good?,Very damn important,Important-ish,Less important than you think,I just don't care at all,43478,O,,preference,2,419
q18834,"If you had to name your greatest motivation in life thus far, what would it be?",Love,Wealth,Expression,Knowledge,46158,N,,descriptive,3,420
q55185,"In terms of birth order, which are you?",The oldest child.,The youngest child.,Somewhere in the middle.,All of the above.,23076,M,[4],descriptive,3,421
q54127,Do you ever not feel like having sex because you feel too unattractive or too unappealing?,"Yes, frequently.","Yes, sometimes.","Yes, but only rarely.","No, never.",26208,O,,descriptive,2,422
q53965,"If you discovered a spider on the wall in your bedroom, which would you do?",Ignore it.,Kill it.,Catch it and put it outside.,Find someone else to deal with it.,30959,N,,descriptive,2,423
q52827,Would you consider connecting with someone whose relationship status is 'seeing someone' or 'married'?,Yes to both,No to both,Yes to 'seeing someone' only,Yes to 'married' only,25032,O,"2, (3, 4), 1",preference,2,424
q52728,Which of these four is sexiest?,Someone who is good with language(s).,Someone who is logical or mathematical.,Someone who is physically skilled.,Someone who is musically skilled.,28519,N,,preference; opinion,2,425
q52682,"If one of your potential matches were overweight, would that be a dealbreaker?","Yes, even if they were slightly overweight.","Yes, but only if they were obese.",No.,"No, in fact I prefer overweight people.",40495,O,,preference,2,426
q50564,Have your sexual interests become kinkier as you've grown older?,Yes.,"No, they haven't changed much.","No, just the opposite.","No, I have no sexual interests.",26137,M,[4],sex/intimacy,2,427
q60901,"If you were really, really drunk, which of the following would you be more likely to do?",Kiss someone.,Hit someone.,Complain to someone.,I'm not sure / I've never been really drunk.,28506,N,,descriptive,2,428
q60308,"Say you're with someone you really care about, and they reveal their deepest, darkest secret. Which of the following would be most likely to scare you away?",A sexual fetish.,A bad temper.,A mild mental illness.,A history of bad credit.,26488,N,,preference; descriptive,4,429
q60145,Are you still in love with one or more of your former partners?,Yes - One of them.,Yes - More than one.,No.,No - I've never been in love with a partner.,24232,O,"2, 1, 3, 4",descriptive,2,430
q57718,"Immediately after having sex with a partner, which of the following sounds most appealing?",Cuddling with them.,Doing my own thing.,Sleeping.,Masturbating or having sex again.,23153,N,,sex/intimacy,2,431
q18609,Can you cook?,"Yes, I'm a culinary genius.","Yes, with a cook book.","No, but I try.","No, there's always fast food.",30481,O,,descriptive,2,432
q18212,How much do you usually tip a server who did a fine job?,Around 10% or less,10-15%,15-20%,Over 20%,28793,O,,descriptive; preference,3,433
q17582,How are your teeth?,Perfect,Okay,Kinda Scraggly,Fucked Up,23548,O,,descriptive,2,434
q18763,Do you consider yourself to be an honorable person?,"Yes, I always try to do the right thing.","Sometimes, it depends on the situation.","No, not really.","Are you kidding? I lie, cheat , AND steal.",23284,O,,descriptive,2,435
q45835,Which is your favorite weather?,Sun,Rain,Snow,Cloudy,24105,N,,preference,2,436
q45428,Do you say 'Thank you' to wait staff when served in a restaurant?,Always.,Most of the time.,Occasionally.,Never.,36781,O,,descriptive,4,437
q44595,Tattoos on a woman's lower back area:,Sexy,Okay,Tramp stamps,Something I have no opinion on,27939,N,,preference; opinion,2,438
q44384,Which best represents your opinion of same-sex relationships?,"Girl-on-girl is okay, but guy-on-guy is wrong.","Guy-on-guy is okay, but girl-on-girl is wrong.",All same-sex relationships are wrong.,It's all fine by me.,28836,O,"4, (1, 2), 3",politics,4,439
q43261,How much influence or control do your parents have over your life?,I am my own person.,I consider their opinion but go my own way.,I almost always do what my parents think is best.,I always do what my parents say.,44620,O,,descriptive,4,440
q20976,You're in a new relationship and your partner admits that they have had 14 sexual partners. Does that sound like a lot to you?,"Yes, and it makes me uncomfortable.","I guess, but It doesn't change how I feel.",That seems like an average number.,"No, that's nothing.",34627,O,,opinion,4,441
q20930,Rate your self-confidence:,"Very, very high",Higher than average,Average,Below average,53737,O,,descriptive,3,442
q20889,What's your opinion of the phrase 'making love' when it refers to sex?,It's beautiful.,It's hokey and overly sentimental.,It refers to a very specific kind of sex.,It's no better or worse than any other.,36901,N,,opinion,2,443
q20818,"Once you take a moral position, can anything be said or done to change your mind?","Yes, life is a big gray area anyway.","No, some things are just Right or Wrong.",Maybe. It depends on the issue.,"Maybe, but it would take a lot.",28211,O,"2, (3, 4), 1",politics; religion/superstition; descriptive,4,444
q20519,In a relationship I like to discuss politics with my partner.,All the time!,Sure. I'm interested in sharing our beliefs.,Sometimes. It depends.,Hardly. Politics are boring or personal.,40256,O,,politics; preference,3,445
q15742,How much do other people's opinions of you influence your decisions?,A lot,Some,Very little,Not at all,28241,O,,descriptive,3,446
q15698,How do you feel about kids?,Kids are precious - they love me and I love them!,"They're okay, but keep the unruly ones at bay.","God, how revolting. *shudder*",I'm indifferent.,39676,O,"3, (2, 4), 1",preference,4,447
q15418,"In your current music collection, do you have more independent artists or big name superstars?",Independent,Big name superstars,A mix of both,I don't have a music collection,24157,M,"2, 3, 1, [4]",descriptive,2,448
q15030,Which would you prefer your ideal match to be more into?,Sports,Books,Music,Movies,35747,N,,preference,2,449
q67641,How important to you is being with family during holidays?,Very important.,Somewhat important.,Not important.,I have no family.,30745,M,[4],descriptive,4,450
q66827,"During a romantic evening at your significant others' house, he or she puts on a slow song and asks you to dance. How would you respond?",Very romantic! I'm up for it!,"I think its corny, but I'll do it anyway!",Not my kinda thing.,I'm not sure.,28504,O,"3, 4, 2, 1",preference,2,451
q66548,Which is closest to your reaction to foul language?,It doesn't bother me at all.,It's ok as long as it isn't every other word.,It bothers me a little.,It bothers me a lot.,36039,O,,preference,3,452
q64334,Imagine that your partner does not enjoy performing oral sex and refuses to ever perform it on you. How disappointed would you be?,Extremely disappointed.,Somewhat disappointed.,Slightly disappointed.,Not at all disappointed.,26159,O,,sex/intimacy,1,453
q63114,How do you think your sex drive compares to what is typical for other people of your age and gender?,My sex drive is higher than average.,My sex drive is about average.,My sex drive is below average.,I'm insatiable.,38203,O,"4, 1, 2, 3",sex/intimacy,2,454
q63068,Approximately how many hours per week do you dedicate to spiritual activity?,Zero.,One hour or less.,One to four hours.,More than four hours.,23133,O,,religion/superstition,4,455
q20212,Do you feel guilty or bad after having sex?,Always,Sometimes,Never,I'm still a virgin.,30735,M,[4],sex/intimacy; religion/superstition; descriptive,2,456
q20135,How do you feel about falling in love?,I love it and want it very much,I try to avoid it,I like to just let it happen,I'm indifferent / not sure,44683,O,"2, (3, 4), 1",sex/intimacy; preference,3,457
q41953,About how long do you want your next relationship to last?,One night,A few months to a year,Several years,The rest of my life,48614,O,,preference,3,458
q38912,How do you feel about germs?,Obsessed: I bleach anything I can't trust!,Careful: I wash my hands and cover my sneezes.,Polite: I always wash up when someone's watching.,Unconcerned: I don't actively lick doorknobs.,24415,O,,descriptive,2,459
q38423,What do you usually wear when you sleep?,Pajamas.,Underwear.,Nothing.,Something else.,26417,M,[4],descriptive,2,460
q38223,Do you like to go clubbing?,"Yes, I prefer to go alone.","Yes, I prefer to go with a date.","Yes, I prefer to go with friends.",No.  I do not like to go clubbing.,27207,N,,preference,2,461
q37693,"Would you be willing to date someone who plays video games almost every day, for at least 2 hours?","Yes, I'd be playing with them.","Yes, but I would not play that much.","Yes, but I don't like video games.",No.,36165,O,,preference; descriptive,2,462
q8865,Are you currently employed?,"Yes, I have a fulltime job",No,Part time,I'm a student,31950,M,"2, 3, 1, [4]",descriptive,5,463
q83480,Which pubic hair style do you prefer for a partner?,Natural.,Neatly trimmed.,Completely shaven.,It doesn't matter.,30719,M,[4],preference,1,464
q83184,"If your partner made a lot of noise while enjoying sex, would this be a turn-on or turn-off for you?",Turn on.,Turn off.,"Either, depending upon how they sound.",It would make no difference.,28472,O,"2, (3, 4), 1",sex/intimacy,2,465
